service,microservice,accy,modelFile
ComposePost,compose-post-service,0.999999999999991,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_compose-post-service.mem
ComposePost,home-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_home-timeline-service.mem
ComposePost,media-service,0.9999999999999811,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_media-service.mem
ComposePost,nginx-web-server,0.9999999999999909,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_nginx-web-server.mem
ComposePost,post-storage-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_post-storage-service.mem
ComposePost,social-graph-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_social-graph-service.mem
ComposePost,text-service,0.9999999999999925,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_text-service.mem
ComposePost,unique-id-service,0.9999999999999902,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_unique-id-service.mem
ComposePost,url-shorten-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_url-shorten-service.mem
ComposePost,user-mention-service,0.9999999999999818,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_user-mention-service.mem
ComposePost,user-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_user-service.mem
ComposePost,user-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/ComposePost_user-timeline-service.mem
HomeTimeline,compose-post-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_compose-post-service.mem
HomeTimeline,home-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_home-timeline-service.mem
HomeTimeline,media-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_media-service.mem
HomeTimeline,nginx-web-server,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_nginx-web-server.mem
HomeTimeline,post-storage-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_post-storage-service.mem
HomeTimeline,social-graph-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_social-graph-service.mem
HomeTimeline,text-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_text-service.mem
HomeTimeline,unique-id-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_unique-id-service.mem
HomeTimeline,url-shorten-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_url-shorten-service.mem
HomeTimeline,user-mention-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_user-mention-service.mem
HomeTimeline,user-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_user-service.mem
HomeTimeline,user-timeline-service,0.9999999999999842,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/HomeTimeline_user-timeline-service.mem
UserTimeline,compose-post-service,0.999999999999982,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_compose-post-service.mem
UserTimeline,home-timeline-service,0.9999999999999807,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_home-timeline-service.mem
UserTimeline,media-service,0.9999999999999811,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_media-service.mem
UserTimeline,nginx-web-server,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_nginx-web-server.mem
UserTimeline,post-storage-service,0.9999999999999822,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_post-storage-service.mem
UserTimeline,social-graph-service,0.9999999999999807,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_social-graph-service.mem
UserTimeline,text-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_text-service.mem
UserTimeline,unique-id-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_unique-id-service.mem
UserTimeline,url-shorten-service,0.9999999999999911,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_url-shorten-service.mem
UserTimeline,user-mention-service,0.999999999999982,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_user-mention-service.mem
UserTimeline,user-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_user-service.mem
UserTimeline,user-timeline-service,1.0,ERMS_Retrain_Precollected/data_social-network/fittingResult/models/usagePrediction/UserTimeline_user-timeline-service.mem
